timestamp,y_true,yhat,lo,hi
2020-06-13 09:00:00+00:00,50965.0,39153.294347001516,37320.692064666735,40985.8966293363
2020-06-13 10:00:00+00:00,51559.0,34099.62789208416,30520.59361252492,37678.662171643395
2020-06-13 11:00:00+00:00,50299.0,29418.32191955837,24376.27524270635,34460.36859641039
2020-06-13 12:00:00+00:00,49330.0,26281.07615393716,20006.427842943598,32555.72446493072
2020-06-13 13:00:00+00:00,48466.0,24274.264016601675,16935.898182857207,31612.629850346144
2020-06-13 14:00:00+00:00,47596.0,23369.910777828693,15091.088882499149,31648.732673158236
2020-06-13 15:00:00+00:00,48952.0,23624.888203926603,14497.67246588783,32752.103941965375
2020-06-13 16:00:00+00:00,48970.0,25013.19545746399,15108.448854882376,34917.94206004561
2020-06-13 17:00:00+00:00,47532.0,27547.282910999,16921.19357495183,38173.37224704617
2020-06-13 18:00:00+00:00,44718.0,32922.997448898466,21621.31208560286,44224.68281219407
2020-06-13 19:00:00+00:00,43953.0,37962.97203390185,26023.786231086975,49902.15783671673
2020-06-13 20:00:00+00:00,42728.0,40480.83874405637,27936.481643377476,53025.19584473526
2020-06-13 21:00:00+00:00,39893.0,42061.15979485151,28939.502479126695,55182.81711057633
2020-06-13 22:00:00+00:00,37940.0,43034.15177681095,29359.540791976433,56708.76276164546
2020-06-13 23:00:00+00:00,36128.0,44375.02900441521,30168.96978312837,58581.08822570206
2020-06-14 00:00:00+00:00,34938.0,44235.51805389204,29517.187093234363,58953.84901454972
2020-06-14 01:00:00+00:00,34589.0,43362.16523251394,28148.802041919036,58575.52842310884
2020-06-14 02:00:00+00:00,34121.0,42378.688843925345,26685.90148682431,58071.47620102638
2020-06-14 03:00:00+00:00,33709.0,41460.02520178434,25302.032401520475,57618.0180020482
2020-06-14 04:00:00+00:00,34655.0,40500.36538361961,23890.19115360954,57110.53961362968
2020-06-14 05:00:00+00:00,37214.0,42418.7019217126,25368.334046147633,59469.06979727757
2020-06-14 06:00:00+00:00,40593.0,44659.612246362376,27180.13280674465,62139.09168598011
2020-06-14 07:00:00+00:00,43274.0,43252.0682349841,25353.762217762054,61150.37425220615
2020-06-14 08:00:00+00:00,45960.0,34394.05508141384,16086.501583059075,52701.60857976861
2020-06-14 00:00:00+00:00,34938.0,33593.68648128075,31664.96381071462,35522.40915184688
2020-06-14 01:00:00+00:00,34589.0,32214.246612670817,28586.18048876396,35842.312736577675
2020-06-14 02:00:00+00:00,34121.0,31060.590510591843,25989.100096677375,36132.080924506314
2020-06-14 03:00:00+00:00,33709.0,30045.906983556113,23746.156246340994,36345.65772077123
2020-06-14 04:00:00+00:00,34655.0,29026.89563777099,21661.07212178518,36392.7191537568
2020-06-14 05:00:00+00:00,37214.0,30936.73384358429,22625.59493405877,39247.87275310981
2020-06-14 06:00:00+00:00,40593.0,33160.49930112383,23995.421519548443,42325.57708269922
2020-06-14 07:00:00+00:00,43274.0,31752.561340446777,21804.43909007381,41700.68359081974
2020-06-14 08:00:00+00:00,45960.0,22483.80723709442,11809.104783005061,33158.50969118378
2020-06-14 09:00:00+00:00,48750.0,20942.600653488782,9587.396014564963,32297.805292412602
2020-06-14 10:00:00+00:00,49046.0,19165.01176262253,7167.717867579613,31162.305657665445
2020-06-14 11:00:00+00:00,47141.0,16718.239681511168,4111.468538719859,29325.010824302477
2020-06-14 12:00:00+00:00,45857.0,14717.176747840553,1529.0456353693735,27905.307860311732
2020-06-14 13:00:00+00:00,45163.0,13298.391421124763,-446.53978566986916,27043.322627919395
2020-06-14 14:00:00+00:00,44571.0,13395.022527811278,-885.017776801491,27675.062832424046
2020-06-14 15:00:00+00:00,45687.0,13513.30311297769,-1282.5072240104328,28309.113449965815
2020-06-14 16:00:00+00:00,46828.0,13543.127226825178,-1751.070053081592,28837.324506731948
2020-06-14 17:00:00+00:00,46539.0,13669.02163072777,-2107.826701638942,29445.869963094483
2020-06-14 18:00:00+00:00,45257.0,16261.94451306936,16.77850533516903,32507.11052080355
2020-06-14 19:00:00+00:00,44045.0,18374.792748863274,1674.4366166356886,35075.14888109086
2020-06-14 20:00:00+00:00,43211.0,18698.73607310586,1555.271671699309,35842.200474512414
2020-06-14 21:00:00+00:00,40192.0,18721.389480093978,1145.9848306460044,36296.79412954195
2020-06-14 22:00:00+00:00,38240.0,18666.199035364665,669.2180226641467,36663.18004806519
2020-06-14 23:00:00+00:00,37217.0,18917.555371468694,508.649847937515,37326.46089499987
2020-06-15 00:00:00+00:00,36428.0,35344.41938034065,33382.9839134052,37305.8548472761
2020-06-15 01:00:00+00:00,36373.0,34321.86870816771,30621.66799297198,38022.06942336345
2020-06-15 02:00:00+00:00,37071.0,33223.49544004401,28047.39386973341,38399.59701035461
2020-06-15 03:00:00+00:00,40466.0,33038.3080310903,26607.05840320939,39469.557658971215
2020-06-15 04:00:00+00:00,48536.0,33611.64835887438,26091.401575356933,41131.895142391826
2020-06-15 05:00:00+00:00,54733.0,36132.4015125387,27646.71974645353,44618.083278623875
2020-06-15 06:00:00+00:00,58338.0,38436.25281715678,29078.557571848098,47793.94806246547
2020-06-15 07:00:00+00:00,59105.0,38547.61263751087,28390.345896743416,48704.87937827833
2020-06-15 08:00:00+00:00,61212.0,36736.39811031834,25837.237684259453,47635.558536377226
2020-06-15 09:00:00+00:00,63316.0,35119.55427138366,23525.559437187825,46713.5491055795
2020-06-15 10:00:00+00:00,62673.0,33102.245203465354,20852.64267529829,45351.84773163241
2020-06-15 11:00:00+00:00,61064.0,30560.38314011437,17688.473855198306,43432.292425030435
